Partlist

Exported from aircat.brd at 24/04/2014 01:29:52

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                              Package                   Library                        Position (inch)       Orientation

C1       10µF 16V                           C0603                     rcl                            (0.8125 -0.05)        R270
C2       10µF 16V                           C0603                     rcl                            (0.9375 -0.05)        R270
C3       3300pF                             C0603                     rcl                            (0.8125 -0.35)        R90
C4       680pF                              C0603                     rcl                            (0.8125 -0.65)        R270
C5       680pF                              C0603                     rcl                            (0.9375 -0.65)        R270
C6       10µF 16V                           C0603                     rcl                            (0.5625 -0.05)        R270
C7       10µF 16V                           C0603                     rcl                            (0.6875 -0.05)        R270
C8       3300pF                             C0603                     rcl                            (0.5625 -0.35)        R90
C9       680pF                              C0603                     rcl                            (0.5625 -0.65)        R270
C10      680pF                              C0603                     rcl                            (0.6875 -0.65)        R270
C11      10µF 16V                           C0603                     rcl                            (0.3125 -0.05)        R270
C12      10µF 16V                           C0603                     rcl                            (0.4375 -0.05)        R270
C13      3300pF                             C0603                     rcl                            (0.3125 -0.35)        R90
C14      680pF                              C0603                     rcl                            (0.3125 -0.65)        R270
C15      680pF                              C0603                     rcl                            (0.4375 -0.65)        R270
C16      10µF 16V                           C0603                     rcl                            (0.0625 -0.05)        R270
C17      10µF 16V                           C0603                     rcl                            (0.1875 -0.05)        R270
C18      3300pF                             C0603                     rcl                            (0.0625 -0.35)        R90
C19      680pF                              C0603                     rcl                            (0.0625 -0.65)        R270
C20      680pF                              C0603                     rcl                            (0.1875 -0.65)        R270
C21      10µF 16V                           C0603                     rcl                            (-0.1875 -0.05)       R270
C22      10µF 16V                           C0603                     rcl                            (-0.0625 -0.05)       R270
C23      3300pF                             C0603                     rcl                            (-0.1875 -0.35)       R90
C24      680pF                              C0603                     rcl                            (-0.1875 -0.65)       R270
C25      680pF                              C0603                     rcl                            (-0.0625 -0.65)       R270
C26      10µF 16V                           C0603                     rcl                            (-0.4375 -0.05)       R270
C27      10µF 16V                           C0603                     rcl                            (-0.3125 -0.05)       R270
C28      3300pF                             C0603                     rcl                            (-0.4375 -0.35)       R90
C29      680pF                              C0603                     rcl                            (-0.4375 -0.65)       R270
C30      680pF                              C0603                     rcl                            (-0.3125 -0.65)       R270
C31      1µF                                C0603                     rcl                            (-0.0875 0.4)         MR180
C32      1µF                                C0603                     rcl                            (0.0875 0.4)          MR0
C33      1µF                                C0603                     rcl                            (-0.0875 0.3)         MR180
C34      1µF                                C0603                     rcl                            (-0.0875 0.5)         MR180
C35      1µF                                C0603                     rcl                            (0.0875 0.3)          MR0
C36      1µF                                C0603                     rcl                            (0.0875 0.5)          MR0
